removeME,Total Global,USA ,Canada,Argentina,Brazil ,Mexico,France,Germany,Italy,Spain,Sweden,UK,Czech Republic,Poland,Russia,Turkey,Egypt,South Africa,Australia,China,India,Indonesia,Japan,South Korea,Taiwan,Thailand
Recession and unemployment,1,1,3,4,,2,1,,1,1,3,1,1,1,4,3,3,4,4,3,3,4,1,1,1,4
Inflation and high prices,1,2,2,2,,3,3,1,5,,,3,4,2,1,4,2,5,2,1,2,1,,3,2,1
Money enough to live right and pay the bills,3,3,1,5,2,,2,2,2,3,4,2,5,3,2,,,,1,4,,,3,4,3,5
Crime and lawlessness,4,5,,1,1,1,5,4,4,,1,4,3,5,3,2,1,1,3,,1,1,,2,,3
Envrionmental pollution,5,,5,,4,5,,5,,,1,,,,,,,,,2,,,5,,,
Wrongdoing by/corruption of elected officials,6,,,,5,,,,3,2,,,1,5,4,,,,,,4,,,,,
Educational quality,6,,,3,3,3,,,,4,,,,,,,,,,4,5,5,,,,
Cost of health care,8,4,,,,,,,,,,,,,,,,,5,,,,,,,
Future of retirement benefits provided by govt',8,,4,,,,4,3,,,,5,,4,,,,,,,,,2,,5,
Economic inequality,10,,,,,,,,,5,,,,,,4,,,,,,,,5,4,
Global climate change/global warming,11,,,,,,,,,,,,,,,,,,,,,,,,,
Personal information getting into wrong hands,12,,,,,,,,,,,,,,,,,,,,,,,,,
Terrorism,12,,,,,,,,,,,,,,,1,,,,,,,,,,
Drug abuse,12,,,,,,,,,,,,,,,,4,2,,,,3,,,,1
Religious exptremism/fundamentalism,15,,,,,,,,,,5,,,,,,,,,,,,,,,
Immigration,16,,,,,,,,,,,,,,,,,,,,,,,,,
Pandemics (epidemics that spread across world),17,,,,,,,,,,,,,,,,,,,,,,,,,
Relations with foreing countries,17,,,,,,,,,,,,,,,,,,,,,,4,,,
AIDS,19,,,,,,,,,,,,,,,,,3,,,,,,,,
Relations between racial and ethnic groups,20,,,,,,,,,,,,,,,,,,,,,,,,,
Aid to countries in Third World,21,,,,,,,,,,,,,,,,,,,,,,,,,
