Leading concerns,Total Global,USA ,Canada,Argentina,Brazil ,Mexico,France,Germany,Italy,Spain,Sweden,UK,Czech Republic,Poland,Russia,Turkey,Egypt,South Africa,Australia,China,India,Indonesia,Japan,South Korea,Taiwan,Thailand
Recession and unemployment,2,,3,1,2,4,1,1,,3,,4,2,2,4,3,2,4,3,1,2,4,1,2,2,1
Inflation and high prices,4,,,,,,,3,,,,,3,,3,1,,,,,1,,,4,,
Money enough to live right and pay the bills,3,3,1,,,,2,4,,,,3,,,2,,,,4,4,,,,,,4
Crime and lawlessness,1,1,2,2,1,1,4,2,,,,1,1,1,1,,4,1,1,,3,3,3,3,1,3
Envrionmental pollution,6,,,,,,,,,,,,,,,,,,,2,4,,2,1,,2
Wrongdoing by/corruption of elected officials,8,,,,,,,,,,,,4,,,4,1,,,,,,4,,3,
Educational quality,6,4,4,4,,,,,,,,,,,,2,,,4,3,,,,,4,
Cost of health care,,,,,,,,,,,,,,,,,,,,,,,,,,
Future of retirement benefits provided by govt',,,,,,,,,,,,,,,,,,,,,,,,,,
Economic inequality,,,,,,,,,,,,,,,,,,,,,,,,,,
Global climate change/global warming,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal information getting into wrong hands,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrorism,10,,,,,,,,,3,,,,,,,,,,,,,,,,
Drug abuse,4,2,,,3,2,,,,2,,2,,3,,,,3,2,,,1,,,,
Religious exptremism/fundamentalism,11,,,,,,,,,,,,,,,,,,,,,,,,,
Immigration,13,,,,,,,,,,,,,,,,,,,,,,,,,
Pandemics (epidemics that spread across world),,,,,,,,,,,,,,,,,,,,,,,,,,
Relations with foreing countries,13,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,8,,,3,4,3,3,,,1,,,,4,,,2,2,,,,2,,,,
Relations between racial and ethnic groups,11,,,,,,,,,,,,,,,,,,,,,,,,,
Aid to countries in Third World,15,,,,,,,,,,,,,,,,,,,,,,,,,
